id,review,rating,label,review_length,word_count
12224156662,"Đóng gói tệ, vỡ chai bên trong, xà bông bị đổ ra rất nhiều",1,negative,58,14
37037405982,Bao bì:ko rõ Lợi ích:lâu trôi chống nắng tốt Kinh nghiệm sử dụng:giữ ẩm tầm 4h  Chống nắng tốt đóng gói chắc chắn mà s k có quà tặng,3,negative,132,29
19178778076,"Làm đẹp:chống nắng Bao bì:ok Lợi ích:không nâng tone, thấm nhanh gọn  Chất lượng sản phẩm tuyệt vời. Giao hàng nhanh, đóng gói kĩ. Mọi người nên mua nha",5,positive,152,29
69863430941,"Mùi hương:thơm  Hehe mình thấy chai berry candy rất hợp gu mình lunn áa Siu mê, mn nên thử nghenn  Hương của nó kiểu ngọt ngọt mà dễ chịu lắm Còn creamy baby thì nó kiểu dịu dịu với thanh lịch sao ấy  Nói chung là siuu ưng còn đc tặng quà nữa tranh thủ mua đi các cậu ơiiii",5,positive,273,60
32062420353,Hiệu ứng làm đẹp:che phủ k dc tốt có nghe review xong mua về mà thất vọng  Màu 120 mà sao nó tối lắm đánh vào vàng hết da luôn như bị gan mà lỡ thử rồi đổi cg chả dc. Có ai muốn mua mình tặng luôn ib mình ở HN 0866486820,2,negative,220,53
77321670504,"Chán kinh ra, đã hủy 2 đơn hàng Tik Tok do vỡ rách chảy nước ra rồi, cuối cùng sang Shopee vẫn bị rách chảy nước, thúi um. Đơn vị vận chuyển lm ăn chán thực sự",1,negative,159,37
81362786130,"Cầm cx êm, nch là k bị quá lỏng đầu nên viết chắc hơn cái bút vietloi kia của t",3,positive,79,20
75995016457,"Dầu dưỡng tóc thơm nhẹ dễ chịu, giữ mùi lâu, bóng tóc, tốt , dễ sử dụng , thoa xong tay ko co dầu bám dính , giao hàng nhanh",5,positive,124,30
78507727790,"Thấy mọi ng review nhiều nên mình đặt về thử nha , dùng thử nếu ok sẽ fback",5,positive,75,18
91069495215,Bao bì:oong hut bị bể cả thùng lun mà shop phản hồi thấy ghét,1,negative,61,14
91317609822,"Hàng mall mà tưởng đâu hàng vỉa hè ko. Chai nền cũ, seal đã bị bóc. Mùi hắc cồn, kem lỏng có lợn cợn gì ấy, mình thuộc da ngăm mạnh mà đánh lên da tối mất mấy tông.",1,negative,164,39
73956719300,Gui hang ko kem qua tặng  Ko đúng quang cáo  Cho shop 1 sao,1,negative,59,14
84874997599,"Chất lượng:Tot Giữ nhiệt:Tot Thiết kế:Dep  Ê bình này xinh cực, này mình mua về làm quà tặng nên không có review về giữ nhiệt được nhưng mà đóng gói bình cũng okela lắm nha. Shop soạn hàng và giao hàng nhanh lắm",5,positive,211,43
15587890913,Độ tuổi sử dụng:1-3t Chất lượng sản phẩm:ok Bao bì/Mẫu mã:méo  Mua hàng có shop nhiều lần nào cũng bọc chống sốc rất cẩn thận mà lần này mua hộp to mà shop khônb bọc cho dẫn tới bên vận chuyển làm móp méo hết cả hộp sữa.,2,negative,220,48
18331058114,Hàng móp méo tùm lum lưu ý nhắc các bạn mua coi chừng bị lộn đây là thùng nhỏ không phải thùng to  hộp bé tí ti￼,1,negative,112,27
11037766172,Hạn sử dụng gần quá . còn có 4tháng .ít nhất phải còn 6thang mới được gửi hàng cho khách chứ . sữa còn có 4thang mà cũng ship .shop đợt này càng ngày làm càng chán chắc bỏ mua của shop quá,3,negative,188,43
26382862656,"Hình ảnh mang tính chất minh họa, chất lượng tốt, biết thẳng 5 sao",5,positive,66,14
16444867711,Hương vị:vani Bao bì/Mẫu mã:đóng gói cẩn thận không bị trầy xước  Lần thứ ba mua của shop nói chung tốt hsd xa,5,positive,110,23
77973169525,"Mùi hương:Thơm Công dụng:sạch da Phù hợp với loại da:đã mụn  Hình ảnh chỉ mang tính chất nhận xử ,shop giao hàng nhanh chóng, chưa được hfwgjvvfgjyhh",5,positive,149,27
31533454611,"Sữa bị méo hỏng 1 góc, kiểm tra vỉ nào cũng bị hỏng 1 hộp như trên, quá thất vọng về đơn hàng lần này",1,negative,101,25
18810771696,Tệ. Giao hàng thiếu. Móp méo. Ntin ko tloi. Hàng giá trị đồ ăn đồ uống mà quăng như nùi giẻ,1,negative,91,21
11067569224,Đóng gói chắc chắn giao hàng nhanh chóng sản phẩm tuyệt vời ông mặt trời,5,positive,72,15
40693491517,"moi mua lan dau hi vọng toc se vao nep mêm muot,  shop goi hang rat can than",5,positive,76,18
11132381165,"Công dụng:phòng tránh có thai  Sản phẩm dùng sướng lắm, mỏng, dai, nhiều gen, lần sau sẽ ủng hộ tiếp nha shop!",5,positive,110,22
87555842321,"Lifebuoy sạch bong kin kít đó giờ rồi :))) ace mix thêm sữa tắm nào cho dịu lại ko bị khô nếu ko thích sự khô nhé. Về quà tặng thì auto là than hoạt tính nên khỏi mong chờ muối hồng ^^ nói k ai tin chứ săn sale (ko phải ngày đôi,..) mà được 112k + quà. Mùi sen thơm hơn",5,positive,269,63
52239728953,Làm ăn ko có 01 tí gì gọi là tâm hàng giao kiểu này móp méo ko 1 miếng bọc chống sốc thua...ko có lần sau tại shop tào lao như này nhé,1,negative,134,33
60879740430,shop để tặng khăn nhưng đặc 2 lần r ch thấy,3,negative,43,11
90992803635,"Dưỡng ẩm:da kho Làm sáng da:duong sang  dưỡng ẩm tốt cho da với lại làm sáng da nhưng phải kiên trì xài, giao hàng nhanh",5,positive,120,25
73957020428,Sản phẩm k thấy ghi sz số gì cả. Vải mỏng vừa dùng cũng tạm được k quá tệ. Mà shop này không cho đổi trả hàng nhé cả nhà,3,negative,120,30
14666074402,Không biết bọc kiểu gì mà tràn hết ra ngoài. M nhớ có quà kèm mà không thấy chẳng hiểu,2,negative,86,20
80786707771,"Video hình ảnh mang tính chất nhận xu. Srm bạn mình xài bị kích ứng, còn mình xài thì thấy oke. Srm ít bọt nên mỗi lần rửa phải dùng lượng lớn hơn các dòng srm khác. Điểm trừ của shop là mặc dù hết chương trình khuyến mãi rồi nhưng shop vẫn để ảnh mua 1 tặng 1 quà",3,negative,264,60
75416359451,Có thấy quà tặng kèm đâu???? Lừa đảo,1,negative,36,8
